gtfo_off_title;Disable 'Release Vassal' decisions;Disable 'Release Vassal' decisions;
gtfo_off_desc;Your decision list will now be uncluttered!;Your decision list will now be uncluttered!;
gtfo_on_title;Enable 'Release Vassal' decisions;Enable 'Release Vassal' decisions;
gtfo_on_desc;The Release Vassal decisions allow you to release vassals, and are otherwise kept hidden from view to avoid having them clutter up your decision list.;The Release Vassal decisions allow you to release vassals, and are otherwise kept hidden from view to avoid having them clutter up your decision list.;
gtfo_AAB_title;Grant Antigua And Barbuda Independence;Grant Antigua And Barbuda Independence;
gtfo_AAB_desc;We've had a good run, but it's time to end our rulership of Antigua And Barbuda: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Antigua And Barbuda: if you love something, let it go!;
gtfo_AAH_title;Grant Al-Ahwaz Independence;Grant Al-Ahwaz Independence;
gtfo_AAH_desc;We've had a good run, but it's time to end our rulership of Al-Ahwaz: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Al-Ahwaz: if you love something, let it go!;
gtfo_ABK_title;Grant Abkhazia Independence;Grant Abkhazia Independence;
gtfo_ABK_desc;We've had a good run, but it's time to end our rulership of Abkhazia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Abkhazia: if you love something, let it go!;
gtfo_ABZ_title;Grant Ambazonia Independence;Grant Ambazonia Independence;
gtfo_ABZ_desc;We've had a good run, but it's time to end our rulership of Ambazonia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Ambazonia: if you love something, let it go!;
gtfo_ADJ_title;Grant Adjara Independence;Grant Adjara Independence;
gtfo_ADJ_desc;We've had a good run, but it's time to end our rulership of Adjara: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Adjara: if you love something, let it go!;
gtfo_ADL_title;Grant Andalusia Independence;Grant Andalusia Independence;
gtfo_ADL_desc;We've had a good run, but it's time to end our rulership of Andalusia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Andalusia: if you love something, let it go!;
gtfo_AFG_title;Grant Afghanistan Independence;Grant Afghanistan Independence;
gtfo_AFG_desc;We've had a good run, but it's time to end our rulership of Afghanistan: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Afghanistan: if you love something, let it go!;
gtfo_ALA_title;Grant Aland Independence;Grant Aland Independence;
gtfo_ALA_desc;We've had a good run, but it's time to end our rulership of Aland: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Aland: if you love something, let it go!;
gtfo_ALB_title;Grant Albania Independence;Grant Albania Independence;
gtfo_ALB_desc;We've had a good run, but it's time to end our rulership of Albania: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Albania: if you love something, let it go!;
gtfo_ALG_title;Grant Algeria Independence;Grant Algeria Independence;
gtfo_ALG_desc;We've had a good run, but it's time to end our rulership of Algeria: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Algeria: if you love something, let it go!;
gtfo_ALT_title;Grant Altai Independence;Grant Altai Independence;
gtfo_ALT_desc;We've had a good run, but it's time to end our rulership of Altai: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Altai: if you love something, let it go!;
gtfo_ANG_title;Grant Angola Independence;Grant Angola Independence;
gtfo_ANG_desc;We've had a good run, but it's time to end our rulership of Angola: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Angola: if you love something, let it go!;
gtfo_AOS_title;Grant Aosta Independence;Grant Aosta Independence;
gtfo_AOS_desc;We've had a good run, but it's time to end our rulership of Aosta: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Aosta: if you love something, let it go!;
gtfo_ARE_title;Grant Arewa Independence;Grant Arewa Independence;
gtfo_ARE_desc;We've had a good run, but it's time to end our rulership of Arewa: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Arewa: if you love something, let it go!;
gtfo_ARG_title;Grant Argentina Independence;Grant Argentina Independence;
gtfo_ARG_desc;We've had a good run, but it's time to end our rulership of Argentina: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Argentina: if you love something, let it go!;
gtfo_ARM_title;Grant Armenia Independence;Grant Armenia Independence;
gtfo_ARM_desc;We've had a good run, but it's time to end our rulership of Armenia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Armenia: if you love something, let it go!;
gtfo_ARU_title;Grant Aruba Independence;Grant Aruba Independence;
gtfo_ARU_desc;We've had a good run, but it's time to end our rulership of Aruba: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Aruba: if you love something, let it go!;
gtfo_ASM_title;Grant Assam Independence;Grant Assam Independence;
gtfo_ASM_desc;We've had a good run, but it's time to end our rulership of Assam: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Assam: if you love something, let it go!;
gtfo_AST_title;Grant Australia Independence;Grant Australia Independence;
gtfo_AST_desc;We've had a good run, but it's time to end our rulership of Australia: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Australia: if you love something, let it go!;
gtfo_ATJ_title;Grant Atjeh Independence;Grant Atjeh Independence;
gtfo_ATJ_desc;We've had a good run, but it's time to end our rulership of Atjeh: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Atjeh: if you love something, let it go!;
gtfo_ATL_title;Grant Atlantico Independence;Grant Atlantico Independence;
gtfo_ATL_desc;We've had a good run, but it's time to end our rulership of Atlantico: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Atlantico: if you love something, let it go!;
gtfo_AUS_title;Grant Austria Independence;Grant Austria Independence;
gtfo_AUS_desc;We've had a good run, but it's time to end our rulership of Austria: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Austria: if you love something, let it go!;
gtfo_AZA_title;Grant Azawad Independence;Grant Azawad Independence;
gtfo_AZA_desc;We've had a good run, but it's time to end our rulership of Azawad: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Azawad: if you love something, let it go!;
gtfo_AZB_title;Grant Azerbaijan Independence;Grant Azerbaijan Independence;
gtfo_AZB_desc;We've had a good run, but it's time to end our rulership of Azerbaijan: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Azerbaijan: if you love something, let it go!;
gtfo_AZK_title;Grant Tribal Areas Independence;Grant Tribal Areas Independence;
gtfo_AZK_desc;We've had a good run, but it's time to end our rulership of Tribal Areas: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Tribal Areas: if you love something, let it go!;
gtfo_AZO_title;Grant Azores Independence;Grant Azores Independence;
gtfo_AZO_desc;We've had a good run, but it's time to end our rulership of Azores: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Azores: if you love something, let it go!;
gtfo_BAH_title;Grant Bahamas Independence;Grant Bahamas Independence;
gtfo_BAH_desc;We've had a good run, but it's time to end our rulership of Bahamas: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Bahamas: if you love something, let it go!;
gtfo_BAK_title;Grant Bashkortostan Independence;Grant Bashkortostan Independence;
gtfo_BAK_desc;We've had a good run, but it's time to end our rulership of Bashkortostan: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Bashkortostan: if you love something, let it go!;
gtfo_BAR_title;Grant Barbados Independence;Grant Barbados Independence;
gtfo_BAR_desc;We've had a good run, but it's time to end our rulership of Barbados: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Barbados: if you love something, let it go!;
gtfo_BAV_title;Grant Bavaria Independence;Grant Bavaria Independence;
gtfo_BAV_desc;We've had a good run, but it's time to end our rulership of Bavaria: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Bavaria: if you love something, let it go!;
gtfo_BEL_title;Grant Belgium Independence;Grant Belgium Independence;
gtfo_BEL_desc;We've had a good run, but it's time to end our rulership of Belgium: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Belgium: if you love something, let it go!;
gtfo_BEN_title;Grant Benin Independence;Grant Benin Independence;
gtfo_BEN_desc;We've had a good run, but it's time to end our rulership of Benin: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Benin: if you love something, let it go!;
gtfo_EDO_title;Grant Benin Independence;Grant Benin Independence;
gtfo_EDO_desc;We've had a good run, but it's time to end our rulership of Benin: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Benin: if you love something, let it go!;
gtfo_BER_title;Grant Beroda Independence;Grant Beroda Independence;
gtfo_BER_desc;We've had a good run, but it's time to end our rulership of Beroda: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Beroda: if you love something, let it go!;
gtfo_BEU_title;Grant Bermuda Independence;Grant Bermuda Independence;
gtfo_BEU_desc;We've had a good run, but it's time to end our rulership of Bermuda: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Bermuda: if you love something, let it go!;
gtfo_BHR_title;Grant Bahrain Independence;Grant Bahrain Independence;
gtfo_BHR_desc;We've had a good run, but it's time to end our rulership of Bahrain: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Bahrain: if you love something, let it go!;
gtfo_BHU_title;Grant Bhutan Independence;Grant Bhutan Independence;
gtfo_BHU_desc;We've had a good run, but it's time to end our rulership of Bhutan: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Bhutan: if you love something, let it go!;
gtfo_BIF_title;Grant Biafra Independence;Grant Biafra Independence;
gtfo_BIF_desc;We've had a good run, but it's time to end our rulership of Biafra: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Biafra: if you love something, let it go!;
gtfo_BLO_title;Grant Balochistan Independence;Grant Balochistan Independence;
gtfo_BLO_desc;We've had a good run, but it's time to end our rulership of Balochistan: if you love something, let it go!;We've had a good run, but it's time to end our rulership of Balochistan: if you love something, let it go!;
gtfo_BLZ_title;Grant Belize Independence;Grant Belize Independence;
