CODE;ENGLISH;FRENCH;;;;;;;;x;;;;;;;;;;;;;
#LOADING_DATABASES;Loading Databases...;Chargement des bases de données...;;;;;;;;x;;;;;;;;;;;;;
#AT_WAR_TENSION_DECAY;$COUNTRY$ is at war: §Y$VAL$§;$COUNTRY$ est en guerre: §Y$VAL$§;;;;;;;;x;;;;;;;;;;;;;
BRIGADES_COMPARE_GREATER;Brigades comparison factor of two countries is at least §Y$VAL$§!;Le facteur de comparaison des brigades des deux pays est d'au moins §Y$VAL$§!;;;;;;;;x;;;;;;;;;;;;;
BRIGADES_COMPARE_SMALLER;Brigades comparison factor of two countries is less than §Y$VAL$§!;Le facteur de comparaison des brigades des deux pays est inférieur à §Y$VAL$§!;;;;;;;;x;;;;;;;;;;;;;
CB_TOWARDS_US_DETECTED_3;§Y$CASUS$§! Casus Belli;Casus Belli "§Y$CASUS$§!";;;;;;;;x;;;;;;;;;;;;;
#COUNTRYALERT_CanRemoveFromSphere;We can remove nations from our §YSphere of Influence§!:;Nous pouvons sortir des pays d'une §Ysphère d'influence§! :;;;;;;;;x;;;;;;;;;;;;;
#COUNTRYALERT_ColonialBad_influence;§RWe are losing the race in §!§Y$REGION$§!;§RNous perdons la course en  §!§Y$REGION$§!;;;;;;;;x;;;;;;;;;;;;;
#COUNTRYALERT_ColonialGood_colony;§GWe can create a colony in §!§Y$REGION$§!;§GNous pouvons créer une colonie en §!§Y$REGION$§!;;;;;;;;x;;;;;;;;;;;;;
#COUNTRYALERT_ColonialGood_invest;§GWe can invest in our a colony in §!§Y$REGION$§!;§GWe can invest in our a colony in §!§Y$REGION$§!;
#COUNTRYALERT_ColonialGood_protectorate;§GWe can create a protectorate in §!§Y$REGION$§!;§GNous pouvons créer un protectorat  en §!§Y$REGION$§!;;;;;;;;x;;;;;;;;;;;;;
#EVTDESC2030_NEW;Anja Yesi-whatnow?'\n'Aniya Yezierska. Is my name unpronounceable?'\n'Kind of. Would you like to change it? It could be difficult for you to get a job otherwise.'\n\nUnpronounceable names and strange spellings could cause trouble for job-seeking immigrants.;"Anja Yesi-whatnow ? \n Aniya Yezierska. Mon nom est imprononçable ? \n ""En quelques sortes"". Souhaitez-vous le changer ? Il pourrait être difficile pour vous de trouver un emploi ailleurs.\n\n Les noms étranges, imprononçables et avec une drôle d'orthographe pourraient causer des ennuis à la recherche d'emploi des immigrants.";;;;;;;;x;;;;;;;;;;;;;
